gname;family;nodes;edges;optimal;degree1;degree2;degree3;closeness;clustering;pagerank;weighted;uniform;random
west0381.mtx;chemical process simulation problem;381;4312;5;6;7;7;7;8;6;6;7;78
west0479.mtx;chemical process simulation problem;479;3804;4;6;6;7;6;8;6;6;7;7
west0497.mtx;chemical process simulation problem;497;3442;4;6;6;5;7;7;7;6;7;7
oscil_trans_01.mtx;circuit simulation problem;430;2436;5;5;5;5;5;6;5;5;5;5
rajat05.mtx;circuit simulation problem;301;2172;4;4;5;5;4;5;4;4;6;56
rajat11.mtx;circuit simulation problem;135;1360;6;6;6;6;6;6;6;6;7;68
rajat14.mtx;circuit simulation problem;180;2664;6;7;7;8;7;7;7;6;8;72
n3c6-b1.mtx;combinatorial problem;105;420;3;3;3;3;3;3;3;3;5;32
Trefethen_150.mtx;combinatorial problem;150;1890;3;4;4;5;3;9;9;3;7;8
Trefethen_200.mtx;combinatorial problem;200;2690;3;8;6;7;8;8;7;3;6;88
Trefethen_200b.mtx;combinatorial problem;199;2674;3;8;6;8;7;8;8;7;10;86
Trefethen_300.mtx;combinatorial problem;300;4378;3;9;7;3;3;9;8;3;7;92
Trefethen_500.mtx;combinatorial problem;500;7978;3;9;9;9;9;9;7;8;8;98
ex1.mtx;computational fluid dynamics problem;216;8272;10;10;11;12;11;10;10;10;14;14
ex2.mtx;computational fluid dynamics problem;441;26398;45;45;45;45;45;45;45;45;54;474
lns_131.mtx;computational fluid dynamics problem;131;848;5;5;5;5;5;5;5;5;7;66
lnsp_131.mtx;computational fluid dynamics problem;131;848;5;5;5;5;5;5;5;5;8;66
olm100.mtx;computational fluid dynamics problem;100;592;3;4;4;4;3;4;4;3;4;42
olm500.mtx;computational fluid dynamics problem;500;2992;3;4;4;4;3;4;4;3;4;46
poisson2D.mtx;computational fluid dynamics problem;367;4100;4;6;6;5;5;6;6;6;6;6
rdb200.mtx;computational fluid dynamics problem;200;1840;2;5;5;4;2;5;2;2;4;48
rdb450.mtx;computational fluid dynamics problem;450;4260;2;6;5;4;2;6;2;2;4;52
saylr1.mtx;computational fluid dynamics problem;238;1780;2;5;4;5;2;5;4;2;4;44
steam1.mtx;computational fluid dynamics problem;240;7044;6;8;6;6;6;8;6;6;11;116
tols340.mtx;computational fluid dynamics problem;340;3848;19;19;19;19;19;19;19;19;19;19
tub100.mtx;computational fluid dynamics problem;100;592;2;3;3;3;2;3;3;2;4;4
GD00_a.mtx;directed graph;352;768;3;3;4;4;4;4;3;4;4;46
GD96_d.mtx;directed graph;180;458;2;2;2;2;2;2;2;2;4;38
GD99_c.mtx;directed graph;105;298;3;4;3;3;3;4;3;3;4;4
