graphname,num_nodes,num_edges,degree1,degree2,degree3,closeness,clustering,pagerank,uniform,random,dynamic,saturation
ia2010.mtx,216007.0,510585.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
smallworld.mtx,100000.0,499998.0,9,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9
dielFilterV3clx.mtx,420408.0,16653308.0,52,59.0,60.0,57.0,52.0,57.0,54.0,54.4,57.0,51
bmw7st_1.mtx,141347.0,3740507.0,48,48.0,48.0,46.0,48.0,48.0,48.0,40.2,48.0,39
tmt_unsym.mtx,917825.0,4584801.0,4,4.0,4.0,2.0,4.0,5.0,3.0,5.0,2.0,2
ok2010.mtx,269118.0,637074.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
pa2010.mtx,421545.0,1029231.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
hcircuit.mtx,105676.0,513072.0,4,4.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,4
ny2010.mtx,350167.0,854772.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
G2_circuit.mtx,150102.0,438388.0,4,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4
CurlCurl_2.mtx,806529.0,4864159.0,7,7.0,8.0,7.0,8.0,9.0,7.0,9.0,6.0,6
co2010.mtx,201062.0,487287.0,6,6.0,6.0,7.0,6.0,6.0,7.0,7.6,6.0,5
ford2.mtx,100196.0,322442.0,27,27.0,27.0,27.0,27.0,27.0,28.0,27.0,27.0,27
delaunay_n18.mtx,262144.0,786396.0,6,6.0,6.0,7.0,6.0,6.0,7.0,7.8,6.0,6
d_pretok.mtx,182730.0,885416.0,7,6.0,7.0,7.0,7.0,8.0,7.0,9.2,6.0,6
vsp_finan512_scagr7-2c_rlfddd.mtx,139752.0,552020.0,7,8.0,8.0,8.0,8.0,7.0,10.0,9.8,9.0,7
id2010.mtx,149842.0,364132.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.4,6.0,5
