gname;family;nodes;edges;degree1;degree2;degree3;closeness;clustering;pagerank;weighted;uniform;;degree1;degree2;degree3;closeness;clustering;pagerank;weighted
cage_G_24.mtx;not available;70;210;6;6;6;6;6;6;6;6;;1;1;1;1;1;1;1
cage_G_12.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_37.mtx;not available;62;372;32;32;32;32;32;32;32;32;;1;1;1;1;1;1;1
cage_G_31.mtx;not available;19;76;10;10;10;10;10;10;10;10;;1;1;1;1;1;1;1
cage_G_28.mtx;not available;272;816;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_03.mtx;not available;24;72;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_35.mtx;not available;30;150;11;11;11;11;11;11;11;11;;1;1;1;1;1;1;1
cage_G_19.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_16.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_36.mtx;not available;42;210;21;21;21;21;21;21;21;21;;1;1;1;1;1;1;1
cage_G_06.mtx;not available;58;174;7;7;7;9;7;7;9;7;;1;1;1;1,285714286;1;1;1,285714286
cage_G_40.mtx;not available;114;912;58;58;58;58;58;58;58;58;;1;1;1;1;1;1;1
cage_G_15.mtx;not available;58;174;8;8;8;7;8;8;7;8;;1;1;1;0,875;1;1;0,875
cage_G_04.mtx;not available;30;90;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_23.mtx;not available;70;210;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_29.mtx;not available;406;1218;8;8;8;8;8;8;8;8;;1;1;1;1;1;1;1
cage_G_22.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_07.mtx;not available;58;174;6;6;6;7;6;6;7;6;;1;1;1;1,166666667;1;1;1,166666667
cage_G_38.mtx;not available;50;350;50;50;50;50;50;50;50;50;;1;1;1;1;1;1;1
cage_G_43.mtx;not available;182;1820;40;40;40;40;40;40;40;40;;1;1;1;1;1;1;1
cage_G_42.mtx;not available;146;1314;30;31;31;31;30;30;31;30;;0,967741935;1;1;1;0,967741935;0,967741935;1
cage_G_01.mtx;not available;10;30;10;10;10;10;10;10;10;10;;1;1;1;1;1;1;1
cage_G_05.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_27.mtx;not available;126;378;8;8;8;8;8;8;8;8;;1;1;1;1;1;1;1
cage_G_33.mtx;not available;76;304;10;10;10;10;10;10;10;10;;1;1;1;1;1;1;1
cage_G_17.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_30.mtx;not available;620;1860;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_02.mtx;not available;14;42;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_13.mtx;not available;58;174;8;8;8;7;8;8;7;8;;1;1;1;0,875;1;1;0,875
cage_G_18.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
spaceStation_2.mtx;optimal control problem;329;5636;165;165;165;165;166;165;165;165;;1;1;1;1;1,006060606;1;1
spaceStation_3.mtx;optimal control problem;467;4844;67;62;62;62;62;63;62;62;;1,080645161;1;1;1;1;1,016129032;1
